Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional;Posición
CONSULTORIO DE ATENCION PRIMARIA DE GARCILLAN;40-C232-0109;CL. PONTON 19;40120;GARCILLAN;SEGOVIA;921490213;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE GARCILLAN;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.9777238, -4.2660995
CONSULTORIO DE ATENCION PRIMARIA DE GAVILANES;05-C232-0096;CL. DE LOS ALCALDES Y REGIDOR, S/N;05460;GAVILANES;AVILA;920384622;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA DE ASISTENCIA SANITARIA DE AVILA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.278461, -4.8531725
CONSULTORIO DE ATENCION PRIMARIA DE GEMUÑO;05-C232-0097;PZ. DE LA CONSTITUCION 1;05197;GEMUÑO;AVILA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA REGIONAL DE SALUD DE CASTILLA Y LEON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.5907335, -4.7825493
CONSULTORIO DE ATENCION PRIMARIA DE GERAS;24-C232-0254;CL. PLACIDO GARCIA 10;24608;GERAS;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE POLA DE GORDON LA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.8945872, -5.767679
CONSULTORIO DE ATENCION PRIMARIA DE GIMIALCON;05-C232-0100;PZ. DE LA CONSTITUCION;05380;GIMIALCON;AVILA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE GIMIALCON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.8768503, -5.1230678
CONSULTORIO DE ATENCION PRIMARIA DE GOTARRENDURA;05-C232-0101;PZ. DE SANTA TERESA, 1;05163;GOTARRENDURA;AVILA;920269038;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA DE ASISTENCIA SANITARIA DE AVILA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.826372, -4.7409074
CONSULTORIO DE ATENCION PRIMARIA DE GOZON DE UCIEZA;34-C232-0086;CL. MAYOR 13;34128;GOZON DE UCIEZA;PALENCIA;979885050;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LOMA DE UCIEZA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.44816, -4.6090801
CONSULTORIO DE ATENCION PRIMARIA DE GRIJALBA;09-C232-0152;PZ. MAYOR, S/N;09128;GRIJALBA;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE GRIJALBA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.4682354, -4.0175638
CONSULTORIO DE ATENCION PRIMARIA DE GUADRAMIRO;37-C232-0351;PZ. MAYOR 2;37219;GUADRAMIRO;SALAMANCA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE GUADRAMIRO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.016785, -6.4944649
CONSULTORIO DE ATENCION PRIMARIA DE GUAREÑA;05-C232-0102;CL. CONSULTORIO SN;05590;GUAREÑA;AVILA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA REGIONAL DE SALUD DE CASTILLA Y LEON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.7977089, -3.4230404
CONSULTORIO DE ATENCION PRIMARIA DE GUIJO DE AVILA;37-C232-0350;PZ. DEL GENERALISIMO 1;37774;GUIJO DE AVILA;SALAMANCA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE GUIJO DE AVILA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.52003, -5.6302395
CONSULTORIO DE ATENCION PRIMARIA DE GUMA;09-C232-0157;PZ. DEL CRUCERO, S/N;09491;GUMA;BURGOS;947530418;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VID Y BARRIOS (LA);SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.6409259, -3.5162294
CONSULTORIO DE ATENCION PRIMARIA DE GUTIERRE-MUÑOZ;05-C232-0105;CL. CONCEPCION, 29;05296;GUTIERRE-MUÑOZ;AVILA;920301163;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE GUTIERRE-MUÑOZ;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.9823915, -4.6388127
CONSULTORIO DE ATENCION PRIMARIA DE GUZMAN;09-C232-0161;CL. PALACIO DE LOS GUZMANES 0;09314;GUZMAN;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE PEDROSA DE DUERO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.7473251, -3.9577683
CONSULTORIO DE ATENCION PRIMARIA DE HERGUIJUELA DE LA SIERRA;37-C232-0347;PZ. MAYOR 1;37619;HERGUIJUELA DE LA SIERRA;SALAMANCA;923432161;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HERGUIJUELA DE LA SIERRA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.44563, -6.07407
CONSULTORIO DE ATENCION PRIMARIA DE HERGUIJUELA DEL CAMPO;37-C232-0346;PZ. DEL AYUNTAMIENTO 0;37762;HERGUIJUELA DEL CAMPO;SALAMANCA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HERGUIJUELA DEL CAMPO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.6167117, -5.9567936
CONSULTORIO DE ATENCION PRIMARIA DE HERNANSANCHO;05-C232-0108;PZ. DEL SOL, 1;05164;HERNANSANCHO;AVILA;920261002;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA DE ASISTENCIA SANITARIA DE AVILA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.8582766, -4.7299108
CONSULTORIO DE ATENCION PRIMARIA DE HERREROS DE SUSO;05-C232-0110;CL. EMPEDRADA, 6;05378;HERREROS DE SUSO;AVILA;923566382;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HERREROS DE SUSO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.803508, -5.039099
CONSULTORIO DE ATENCION PRIMARIA DE HIGON;09-C232-0172;CR. SANTA GADEA, S/N;09571;HIGON;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE ALFOZ DE SANTA GADEA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.94281, -3.9444714
CONSULTORIO DE ATENCION PRIMARIA DE HINOJAL DE RIOPISUERGA;09-C232-0175;PZ. MAYOR S/N;09108;HINOJAL DE RIOPISUERGA;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE CASTRILLO DE RIOPISUERGA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.51565, -4.2386852
CONSULTORIO DE ATENCION PRIMARIA DE HINOJAR DE CERVERA;09-C232-0177;CL. ANGOSTA 8;09610;HINOJAR DE CERVERA;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SANTO DOMINGO DE SILOS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.947435, -3.4519146
CONSULTORIO DE ATENCION PRIMARIA DE HINOJOSA DE DUERO;37-C232-0343;AV. SANCHEZ TERAN 53;37230;HINOJOSA DE DUERO;SALAMANCA;923515003;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HINOJOSA DE DUERO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.9870504, -6.7933951
CONSULTORIO DE ATENCION PRIMARIA DE HONTANAS;09-C232-0180;CL. REAL;09227;HONTANAS;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HONTANAS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.3127506, -4.0456459
CONSULTORIO DE ATENCION PRIMARIA DE HONTANGAS;09-C232-0588;CL. LA CUEVA 16;09462;HONTANGAS;BURGOS;947531023;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HONTANGAS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.5834136, -3.7960767
CONSULTORIO DE ATENCION PRIMARIA DE HONTORIA DE CERRATO;34-C232-0092;CL. LAS PARRAS 7;34209;HONTORIA DE CERRATO;PALENCIA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HONTORIA DE CERRATO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.910493, -4.4421935
CONSULTORIO DE ATENCION PRIMARIA DE HONTORIA DE LA CANTERA;09-C232-0185;CL. LA ESCUELAS S/N;09620;HONTORIA DE LA CANTERA;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HONTORIA DE LA CANTERA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.251685, -3.6808853
CONSULTORIO DE ATENCION PRIMARIA DE HONTORIA DE VALDEARADOS;09-C232-0188;PZ. LAS ESCUELAS SN;09450;HONTORIA DE VALDEARADOS;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HONTORIA DE VALDEARADOS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.7491803, -3.5167462
CONSULTORIO DE ATENCION PRIMARIA DE HORNILLOS DEL CAMINO;09-C232-0194;CL. SAN PEDRO 5;09230;HORNILLOS DEL CAMINO;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HORNILLOS DEL CAMINO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.3366355, -3.929129
CONSULTORIO DE ATENCION PRIMARIA DE HORTEZUELOS;09-C232-0197;CL. CENTRO 2;09610;HORTEZUELOS;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SANTO DOMINGO DE SILOS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.9333224, -3.4524732
CONSULTORIO DE ATENCION PRIMARIA DE HOSPITAL DE ORBIGO;24-C232-0786;CL. DOCTOR SANTOS OLIVERA 14;24286;HOSPITAL DE ORBIGO;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS;AYUNTAMIENTO HOSPITAL DE ORBIGO;MUNICIPIO;42.4612929, -5.8799248
CONSULTORIO DE ATENCION PRIMARIA DE HOYOS DEL COLLADO;05-C232-0123;CL. IGLESIA, S/N;05634;NAVARREDONDA DE GREDOS;AVILA;920290018;920341329;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA DE ASISTENCIA SANITARIA DE AVILA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.3593906, -5.2003911
CONSULTORIO DE ATENCION PRIMARIA DE HOYOS DEL ESPINO;05-C232-0124;CR. DE EL BARCO, S/N;05634;NAVARREDONDA DE GREDOS;AVILA;920349031;920341329;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA DE ASISTENCIA SANITARIA DE AVILA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.3521014, -5.1772642
CONSULTORIO DE ATENCION PRIMARIA DE HOYUELOS;40-C232-0120;CL. EXTRAMUROS 17;40136;HOYUELOS;SEGOVIA;921594036;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SANTA MARIA LA REAL DE NIEVA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.0045968, -4.4659181
CONSULTORIO DE ATENCION PRIMARIA DE HUERGAS DE GORDON;24-C232-0714;CL. LA PLAZUELA 15;24670;HUERGAS DE GORDON;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE POLA DE GORDON LA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.902495, -5.6385044
CONSULTORIO DE ATENCION PRIMARIA DE HUERMECES;09-C232-0568;CL. REAL 3;09151;HUERMECES;BURGOS;675989993;947453215;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HUERMECES;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.52226, -3.7705928
CONSULTORIO DE ATENCION PRIMARIA DE HURONES;09-C232-0206;CL. LA IGLESIA, S/N;09000;HURONES;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE HURONES;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.3568068, -3.6865587
CONSULTORIO DE ATENCION PRIMARIA DE IBEAS DE JUARROS;09-C232-0207;CL. LA IGLESIA, S/N;09198;IBEAS DE JUARROS;BURGOS;947244756;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE IBEAS DE JUARROS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.328553, -3.535795
CONSULTORIO DE ATENCION PRIMARIA DE IGLESIARRUBIA;09-C232-0210;CL. DE SAN CLEMENTE S/N;09345;IGLESIARRUBIA;BURGOS;680444544;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE IGLESIARRUBIA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.9744467, -3.8476464
CONSULTORIO DE ATENCION PRIMARIA DE IGUEÑA;24-C232-0271;PS. CATOUTE 5;24312;IGUEÑA;LEON;987519507;987519563;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE IGUEÑA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.7281938, -6.2780094
CONSULTORIO DE ATENCION PRIMARIA DE ITERO SECO;34-C232-0095;CL. MAYOR 29;34477;ITERO SECO;PALENCIA;979885050;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LOMA DE UCIEZA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.46233, -4.55566
CONSULTORIO DE ATENCION PRIMARIA DE ITUERO Y LAMA;40-C232-0354;PZ. MAYOR 4;40151;ITUERO Y LAMA;SEGOVIA;921198371;921198488;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE ITUERO Y LAMA;OTRAS ENTIDADES/ORGANISMOS PUBLIC.DEP.AUTONOMICA;40.8001412, -4.3778036
CONSULTORIO DE ATENCION PRIMARIA DE JUARROS DE VOLTOYA;40-C232-0344;PS. DIPUTACION PROVINCIAL 7;40445;JUARROS DE VOLTOYA;SEGOVIA;921582006;921582095;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE JUARROS DE VOLTOYA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.04281, -4.5185307
CONSULTORIO DE ATENCION PRIMARIA DE LA ALAMEDILLA;37-C232-0316;CL. LA IGLESIA 0;37554;ALAMEDILLA (LA);SALAMANCA;923489955;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE ALAMEDILLA LA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.4724221, -6.8271444
CONSULTORIO DE ATENCION PRIMARIA DE LA CAÑADA;05-C232-0054;CL. LA PLAZA, S/N;05294;CAÑADA (LA);AVILA;920272249;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA REGIONAL DE SALUD DE CASTILLA Y LEON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.596096, -4.49601
CONSULTORIO DE ATENCION PRIMARIA DE LA MATA;40-C232-0311;PZ. DEL AYUNTAMIENTO 3;40171;MATA (LA);SEGOVIA;921069937;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SANTIUSTE DE PEDRAZA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.0795129, -3.8839567
CONSULTORIO DE ATENCION PRIMARIA DE LA MATILLA;40-C232-0179;CL. SOL 13;40175;MATILLA (LA);SEGOVIA;921533844;921533844;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LA MATILLA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.1902916, -3.7941036
CONSULTORIO DE ATENCION PRIMARIA DE LA NUEZ DE ABAJO;09-C232-0584;CL. SANTIAGO 23;09159;NUEZ DE ABAJO (LA);BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;MEDICINA GENERAL /  DE FAMILIA;ENTIDAD LOCAL MENOR LA NUEZ DE ABAJO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.457483, -3.810069
CONSULTORIO DE ATENCION PRIMARIA DE LA PARRA;05-C232-0212;CR. AVILA, S/N;05400;PARRA (LA);AVILA;920370312;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA REGIONAL DE SALUD DE CASTILLA Y LEON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.2260319, -5.0545503
CONSULTORIO DE ATENCION PRIMARIA DE LA PARTE LAS HORMAZAS;09-C232-0589;CL. LA IGLESIA 3;09133;PARTE (LA);BURGOS;947363389;947363389;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LAS HORMAZAS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.5257765, -3.9283099
CONSULTORIO DE ATENCION PRIMARIA DE LA PIEDRA;09-C232-0330;CL. REAL, S/N;09125;PIEDRA (LA);BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE BASCONCILLOS DEL TOZO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.6818964, -3.9372316
CONSULTORIO DE ATENCION PRIMARIA DE LA PUEBLA DE ARGANZON;09-C232-0347;CL. LA ESTACION 9;09294;PUEBLA DE ARGANZON (LA);BURGOS;945373054;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE PUEBLA DE ARGANZON (LA);SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.76721, -2.83131
CONSULTORIO DE ATENCION PRIMARIA DE LA SALCEDA;40-C232-0292;CL. SANTA AGUEDA 18;40171;SALCEDA (LA);SEGOVIA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE TORRE VAL DE SAN PEDRO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.0576463, -3.8948055
CONSULTORIO DE ATENCION PRIMARIA DE LA SEQUERA DE HAZA;09-C232-0272;PZ. MAYOR, S/N;09462;SEQUERA DE HAZA (LA);BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SEQUERA DE HAZA (LA);SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.564105, -3.8166099
CONSULTORIO DE ATENCION PRIMARIA DE LA SERNA;34-C232-0197;CR. CARRION-GOZON;34128;SERNA (LA);PALENCIA;979882099;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LA SERNA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.3805411, -4.6291617
CONSULTORIO DE ATENCION PRIMARIA DE LA SERRADA;05-C232-0273;CL. SAN ISIDRO, 4;05192;SERRADA (LA);AVILA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;GERENCIA REGIONAL DE SALUD DE CASTILLA Y LEON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.6326236, -4.7917384
CONSULTORIO DE ATENCION PRIMARIA DE LA VALGOMA;24-C232-0694;CL. REAL, S/N;24410;VALGOMA (LA);LEON;987450004;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE CAMPONARAYA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.5779088, -6.6652662
CONSULTORIO DE ATENCION PRIMARIA DE LA VELLES;37-C232-0406;CL. IGLESIA 19;37427;VELLES (LA);SALAMANCA;692716160;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LA VELLES;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.0729592, -5.5678052
CONSULTORIO DE ATENCION PRIMARIA DE LA VID;09-C232-0435;PZ. MAYOR, S/N;09491;VID (LA);BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VID Y BARRIOS (LA);SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.6409259, -3.5162294
CONSULTORIO DE ATENCION PRIMARIA DE LA VID DE OJEDA;34-C232-0230;CL. JESUS FUENTE 6;34485;VID DE OJEDA (LA);PALENCIA;979133654;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LA VID DE OJEDA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.6612205, -4.3853251
CONSULTORIO DE ATENCION PRIMARIA DE LAGUNA DE CONTRERAS;40-C232-0127;CL. LA PRADERA 3;40236;LAGUNA DE CONTRERAS;SEGOVIA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LAGUNA DE CONTRERAS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.4940956, -4.029463
CONSULTORIO DE ATENCION PRIMARIA DE LAGUNILLA;37-C232-0330;CL. REBOLLAR 1;37724;LAGUNILLA;SALAMANCA;923417760;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LAGUNILLA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.3247809, -5.9724335
CONSULTORIO DE ATENCION PRIMARIA DE LANGUILLA;40-C232-0129;CL. MAYOR 9;40556;LANGUILLA;SEGOVIA;921553484;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LANGUILLA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.4489806, -3.4231182
CONSULTORIO DE ATENCION PRIMARIA DE LARRODRIGO;37-C232-0329;PZ. LEONCIO REDERO 1;37865;LARRODRIGO;SALAMANCA;923383027;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LARRODRIGO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.7369297, -5.448648
CONSULTORIO DE ATENCION PRIMARIA DE LAS CABAÑAS DE CASTILLA;34-C232-0047;CL. EL PUENTE 2;34469;CABAÑAS DE CASTILLA (LAS);PALENCIA;979817001;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE OSORNO LA MAYOR;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.3527018, -4.3632489
CONSULTORIO DE ATENCION PRIMARIA DE LAS CAMARETAS;42-C232-0327;CL. DONDE NACE EL AGUA, 4;42190;GOLMAYO;SORIA;975249027;0;CONSULTORIOS DE ATENCION PRIMARIA;ATENCION SANITARIA DOMICILIARIA#ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA#PEDIATRIA;AYUNTAMIENTO DE GOLMAYO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.7764741, -2.5609088
CONSULTORIO DE ATENCION PRIMARIA DE LEDIGOS;34-C232-0099;PZ. MAYOR 8;34347;LEDIGOS;PALENCIA;979883688;979883688;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LEDIGOS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.3542387, -4.8648439
